time,from,to,from_alt,to_alt
2025-05-16 09:04:00+00:00,STARLINK-5096,STARLINK-30445,64.18765533598064,77.3014664140037
2025-05-16 09:05:00+00:00,STARLINK-30445,STARLINK-3132,77.3014664140037,63.93874607710064
2025-05-16 09:06:00+00:00,STARLINK-3132,STARLINK-3705,63.93874607710064,78.66630575415208
2025-05-16 09:07:00+00:00,STARLINK-3705,STARLINK-30823,78.66630575415208,80.15099765954965
2025-05-16 09:08:00+00:00,STARLINK-30823,STARLINK-11150 [DTC],80.15099765954965,68.47670372576442
2025-05-16 09:09:00+00:00,STARLINK-11150 [DTC],STARLINK-30460,68.47670372576442,77.18217900872757
2025-05-16 09:10:00+00:00,STARLINK-30460,STARLINK-5491,77.18217900872757,69.1438638444237
2025-05-16 09:11:00+00:00,STARLINK-5491,STARLINK-5540,69.1438638444237,75.81095538141949
2025-05-16 09:12:00+00:00,STARLINK-5540,STARLINK-30873,75.81095538141949,72.53701792689732
2025-05-16 09:13:00+00:00,STARLINK-30873,STARLINK-2725,72.53701792689732,73.4856953474498
2025-05-16 09:14:00+00:00,STARLINK-2725,STARLINK-30442,73.4856953474498,79.15361171166707
2025-05-16 09:15:00+00:00,STARLINK-30442,STARLINK-3156,79.15361171166707,83.90000859280923
2025-05-16 09:16:00+00:00,STARLINK-3156,STARLINK-5553,83.90000859280923,82.27421490995877
2025-05-16 09:17:00+00:00,STARLINK-5553,STARLINK-3717,82.27421490995877,74.82445954895465
2025-05-16 09:18:00+00:00,STARLINK-3717,STARLINK-4158,74.82445954895465,64.33165542941853
2025-05-16 09:19:00+00:00,STARLINK-4158,STARLINK-5991,64.33165542941853,77.94735631303058
2025-05-16 09:20:00+00:00,STARLINK-5991,STARLINK-30366,77.94735631303058,67.51057495985502
2025-05-16 09:21:00+00:00,STARLINK-30366,STARLINK-31298,67.51057495985502,70.59117365623113
2025-05-16 09:22:00+00:00,STARLINK-31298,STARLINK-5724,70.59117365623113,79.24167595076221
2025-05-16 09:23:00+00:00,STARLINK-5724,STARLINK-2618,79.24167595076221,77.34792017086295
2025-05-16 09:24:00+00:00,STARLINK-2618,STARLINK-2516,77.34792017086295,78.24829970691121
2025-05-16 09:25:00+00:00,STARLINK-2516,STARLINK-11294 [DTC],78.24829970691121,78.55748144239344
2025-05-16 09:26:00+00:00,STARLINK-11294 [DTC],STARLINK-30310,78.55748144239344,70.27285023727308
2025-05-16 09:27:00+00:00,STARLINK-30310,STARLINK-32045,70.27285023727308,73.24765622818126
2025-05-16 09:28:00+00:00,STARLINK-32045,STARLINK-2195,73.24765622818126,76.3129284222343
2025-05-16 09:29:00+00:00,STARLINK-2195,STARLINK-4279,76.3129284222343,79.2051919534107
2025-05-16 09:30:00+00:00,STARLINK-4279,STARLINK-31487,79.2051919534107,74.88471083215211
2025-05-16 09:31:00+00:00,STARLINK-31487,STARLINK-1327,74.88471083215211,72.17097537802664
2025-05-16 09:32:00+00:00,STARLINK-1327,STARLINK-33703,72.17097537802664,72.96165804935839
2025-05-16 09:33:00+00:00,STARLINK-33703,STARLINK-4606,72.96165804935839,84.2930626506616
2025-05-16 09:34:00+00:00,STARLINK-4606,STARLINK-31061,84.2930626506616,62.368092799502364
2025-05-16 09:35:00+00:00,STARLINK-31061,STARLINK-30504,62.368092799502364,82.44496898483222
2025-05-16 09:36:00+00:00,STARLINK-30504,STARLINK-1350,82.44496898483222,87.4737941754298
2025-05-16 09:37:00+00:00,STARLINK-1350,STARLINK-5352,87.4737941754298,69.22000038867324
2025-05-16 09:38:00+00:00,STARLINK-5352,STARLINK-4593,69.22000038867324,67.68087796373827
2025-05-16 09:39:00+00:00,STARLINK-4593,STARLINK-4331,67.68087796373827,74.71059707805213
2025-05-16 09:40:00+00:00,STARLINK-4331,STARLINK-1056,74.71059707805213,74.49827065617433
2025-05-16 09:41:00+00:00,STARLINK-1056,STARLINK-31639,74.49827065617433,76.96654235529329
2025-05-16 09:42:00+00:00,STARLINK-31639,STARLINK-11539 [DTC],76.96654235529329,68.64378427969132
2025-05-16 09:43:00+00:00,STARLINK-11539 [DTC],STARLINK-33647,68.64378427969132,75.70910240055859
2025-05-16 09:44:00+00:00,STARLINK-33647,STARLINK-4333,75.70910240055859,87.94268909785266
2025-05-16 09:45:00+00:00,STARLINK-4333,STARLINK-4667,87.94268909785266,72.26744789880725
2025-05-16 09:46:00+00:00,STARLINK-4667,STARLINK-33676,72.26744789880725,77.69372273008081
2025-05-16 09:47:00+00:00,STARLINK-33676,STARLINK-3701,77.69372273008081,83.76313657137166
2025-05-16 09:48:00+00:00,STARLINK-3701,STARLINK-32316,83.76313657137166,80.01118381889853
2025-05-16 09:49:00+00:00,STARLINK-32316,STARLINK-4318,80.01118381889853,72.13982126496255
2025-05-16 09:50:00+00:00,STARLINK-4318,STARLINK-11582 [DTC],72.13982126496255,71.7066701501836
2025-05-16 09:51:00+00:00,STARLINK-11582 [DTC],STARLINK-3135,71.7066701501836,78.25775088975439
2025-05-16 09:52:00+00:00,STARLINK-3135,STARLINK-4319,78.25775088975439,70.02735738577536
2025-05-16 09:53:00+00:00,STARLINK-4319,STARLINK-5522,70.02735738577536,77.42354871793692
2025-05-16 09:54:00+00:00,STARLINK-5522,STARLINK-5854,77.42354871793692,81.63469809860418
2025-05-16 09:55:00+00:00,STARLINK-5854,STARLINK-5651,81.63469809860418,66.61508363029989
2025-05-16 09:56:00+00:00,STARLINK-5651,STARLINK-3120,66.61508363029989,76.52778218312373
2025-05-16 09:57:00+00:00,STARLINK-3120,STARLINK-1506,76.52778218312373,68.05440153537593
2025-05-16 09:58:00+00:00,STARLINK-1506,STARLINK-5622,68.05440153537593,80.36024555702346
2025-05-16 09:59:00+00:00,STARLINK-5622,STARLINK-5846,80.36024555702346,69.95569053337522
2025-05-16 10:00:00+00:00,STARLINK-5846,STARLINK-2534,69.95569053337522,81.50809002906243
2025-05-16 10:01:00+00:00,STARLINK-2534,STARLINK-3149,81.50809002906243,55.91517074329494
2025-05-16 10:02:00+00:00,STARLINK-3149,STARLINK-11471 [DTC],55.91517074329494,77.92966287057814
2025-05-16 10:03:00+00:00,STARLINK-11471 [DTC],STARLINK-5659,77.92966287057814,78.4859867999564
2025-05-16 10:04:00+00:00,STARLINK-5659,STARLINK-2385,78.4859867999564,66.8833402403285
2025-05-16 10:05:00+00:00,STARLINK-2385,STARLINK-4253,66.8833402403285,76.08152914964464
2025-05-16 10:06:00+00:00,STARLINK-4253,STARLINK-2536,76.08152914964464,58.77123146178607
2025-05-16 10:07:00+00:00,STARLINK-2536,STARLINK-3110,58.77123146178607,58.49596168276174
2025-05-16 10:08:00+00:00,STARLINK-3110,STARLINK-32451,58.49596168276174,78.18094133142307
2025-05-16 10:09:00+00:00,STARLINK-32451,STARLINK-2338,78.18094133142307,76.13546265032582
2025-05-16 10:10:00+00:00,STARLINK-2338,STARLINK-4254,76.13546265032582,73.84136157974639
2025-05-16 10:11:00+00:00,STARLINK-4254,STARLINK-6241,73.84136157974639,79.14160105170622
2025-05-16 10:12:00+00:00,STARLINK-6241,STARLINK-2565,79.14160105170622,75.01579090180637
2025-05-16 10:13:00+00:00,STARLINK-2565,STARLINK-32135,75.01579090180637,56.350106766194116
2025-05-16 10:14:00+00:00,STARLINK-32135,STARLINK-4600,56.350106766194116,81.34721189553196
