time,visible_satellites,best_satellite,best_alt,best_az,best_distance
2025-05-19 07:41:56,35,STARLINK-32777,72.66475986364624,282.7229082838942,504.58651424877917
2025-05-19 07:42:56,39,STARLINK-30592,74.0878973712652,284.4454623561107,493.5466691500029
2025-05-19 07:43:56,39,STARLINK-31846,74.63116304061964,272.9264722944615,492.41264267065185
2025-05-19 07:44:56,37,STARLINK-2756,64.39116384411929,270.00944864486587,601.7913000199869
2025-05-19 07:45:56,30,STARLINK-5064,74.91927831380079,143.2034344013871,594.0667152118087
2025-05-19 07:46:56,28,STARLINK-5079,86.42197203912129,180.6278605587358,541.4174849289905
2025-05-19 07:47:56,23,STARLINK-30861,71.27604356588056,46.528164070349455,587.2638411527792
2025-05-19 07:48:56,23,STARLINK-4483,82.16050029740823,200.37874417094687,544.7961656239474
2025-05-19 07:49:56,21,STARLINK-30373,71.85840606380326,277.8814506234963,505.02836179028225
2025-05-19 07:50:56,26,STARLINK-30343,62.21101254301281,30.05982325756046,625.6743678518887
2025-05-19 07:51:56,30,STARLINK-5060,72.24426822612882,221.93993980714035,602.2327563129428
2025-05-19 07:52:56,32,STARLINK-11615 [DTC],76.94794212077039,169.73337766806526,345.14705837282037
2025-05-19 07:53:56,30,STARLINK-31067,72.3874031379453,2.653754376533708,584.7548989247463
2025-05-19 07:54:56,29,STARLINK-30340,66.65097267173562,37.84681475915716,604.988472381405
2025-05-19 07:55:56,32,STARLINK-1826,81.05497552809659,82.69101194052288,553.8664153025584
2025-05-19 07:56:56,29,STARLINK-31298,64.59350532350696,329.8292354026688,531.286751955975
2025-05-19 07:57:56,31,STARLINK-1337,75.26744179963062,162.4863760349925,564.6444668521793
2025-05-19 07:58:56,32,STARLINK-31069,76.27221416511995,337.0901159552028,574.7013252308207
2025-05-19 07:59:56,35,STARLINK-30279,65.00394642684839,20.543968232888375,612.1485061356553
2025-05-19 08:00:56,33,STARLINK-3735,76.27872219808222,4.421216005729371,554.7763460104369
2025-05-19 08:01:56,32,STARLINK-6264,56.585471575477804,322.06175809262743,659.2091830752119
2025-05-19 08:02:56,31,STARLINK-6264,77.74681684331206,79.87115169185918,571.3980963107615
2025-05-19 08:03:56,34,STARLINK-31038,78.45477986366879,302.15498164733253,570.0567889880031
2025-05-19 08:04:56,31,STARLINK-4567,80.36125834947866,88.71848545561453,547.304449205603
2025-05-19 08:05:56,29,STARLINK-31062,79.82982618894826,350.3325226464903,567.7347323752844
2025-05-19 08:06:56,29,STARLINK-3708,76.7401932491577,152.28086711775072,553.7001207728138
